rewards,mean10_rewards
200.0,168.65
183.0,170.14999999999998
188.5,169.0
93.5,166.25
193.5,168.3
93.0,166.0
176.5,168.35
200.0,170.4
107.0,161.5
162.0,158.7
148.0,153.5
200.0,155.2
200.0,156.35000000000002
194.0,166.4
200.0,167.05
188.0,176.55
172.5,176.14999999999998
200.0,176.14999999999998
194.0,184.85000000000002
200.0,188.64999999999998
197.5,193.6
70.0,180.60000000000002
191.0,179.7
198.5,180.14999999999998
173.5,177.5
190.5,177.75
141.5,174.64999999999998
200.0,174.64999999999998
177.0,172.95
200.0,172.95
192.0,172.39999999999998
157.0,181.1
186.5,180.65
200.0,180.8
200.0,183.45
200.0,184.4
157.0,185.95
170.0,182.95
149.0,180.14999999999998
198.5,180.0
168.0,177.6
120.5,173.95
163.5,171.65
193.5,171.0
191.5,170.14999999999998
200.0,170.14999999999998
162.5,170.7
200.0,173.7
200.0,178.8
200.0,178.95
200.0,182.15
178.5,187.95
200.0,191.6
167.0,188.95
176.0,187.4
171.0,184.5
138.5,182.10000000000002
181.0,180.2
200.0,180.2
200.0,180.2
169.5,177.15
200.0,179.3
166.0,175.9
200.0,179.2
179.0,179.5
180.0,180.39999999999998
163.0,182.85
200.0,184.75
140.5,178.8
174.5,176.25
168.0,176.10000000000002
177.5,173.85000000000002
200.0,177.25
167.5,174.0
200.0,176.10000000000002
153.5,173.45
157.5,172.89999999999998
160.5,168.95
177.5,172.65
144.0,169.60000000000002
151.0,167.9
200.0,170.15
200.0,170.15
159.5,169.35000000000002
146.0,163.95
200.0,168.6
182.5,171.1
198.5,174.89999999999998
153.0,172.45
200.0,178.05
143.0,177.25
106.5,167.89999999999998
174.0,165.3
117.5,161.1
154.5,161.95
131.0,155.05
167.0,153.5
190.0,152.64999999999998
200.0,157.35
172.0,154.55
158.5,156.1
197.5,165.2
200.0,167.8
200.0,176.05
137.5,174.35000000000002
161.0,177.35
182.0,178.85
142.0,174.05
149.0,168.95
199.0,171.64999999999998
145.0,170.3
163.0,166.85
200.0,166.85
200.0,166.85
195.0,172.60000000000002
194.5,175.95
152.5,173.0
186.0,177.39999999999998
200.0,182.5
159.5,178.55
80.5,172.1
190.5,174.85
181.5,173.0
170.0,170.0
168.5,167.35
175.0,165.4
200.0,170.14999999999998
174.0,168.95
173.5,166.3
146.0,164.95
197.0,176.6
169.0,174.45
149.0,171.2
200.0,174.2
200.0,177.35
174.0,177.25
184.0,175.64999999999998
188.5,177.1
200.0,179.75
171.5,182.3
173.0,179.9
199.0,182.89999999999998
200.0,188.0
200.0,188.0
200.0,188.0
200.0,190.60000000000002
200.0,192.2
200.0,193.35
200.0,193.35
184.5,194.64999999999998
200.0,197.35000000000002
181.0,195.55
200.0,195.55
200.0,195.55
200.0,195.55
200.0,195.55
185.0,194.05
175.0,191.55
200.0,191.55
186.0,191.7
200.0,191.7
179.5,191.55
200.0,191.55
200.0,191.55
190.5,190.6
200.0,190.6
186.5,190.75
189.0,192.15
164.5,188.6
200.0,190.0
200.0,190.0
166.0,188.65
179.0,186.55
173.0,183.85
200.0,184.8
200.0,184.8
150.0,181.15
184.5,180.7
118.0,176.05
200.0,176.05
180.0,174.05
200.0,177.45
200.0,179.55
200.0,182.25
200.0,182.25
200.0,182.25
187.0,185.95
200.0,187.5
200.0,195.7
200.0,195.7
184.5,196.15
200.0,196.15
200.0,196.15
200.0,196.15
183.5,194.5
200.0,194.5
200.0,195.8
200.0,195.8
178.5,193.64999999999998
154.0,189.05
153.5,185.95
162.0,182.14999999999998
200.0,182.14999999999998
200.0,182.14999999999998
200.0,183.8
179.5,181.75
200.0,181.75
169.0,178.64999999999998
200.0,180.8
169.5,182.35
200.0,187.0
181.0,188.89999999999998
168.5,185.75
200.0,185.75
171.0,182.85
200.0,184.9
188.0,183.7
136.5,180.45
200.0,180.45
187.5,182.25
200.0,182.25
200.0,184.14999999999998
179.0,185.2
200.0,185.2
186.0,186.7
194.0,186.1
200.0,187.3
200.0,193.64999999999998
200.0,193.64999999999998
200.0,194.89999999999998
200.0,194.89999999999998
137.5,188.64999999999998
176.5,188.4
200.0,188.4
186.0,188.4
200.0,189.0
191.5,188.15
194.0,187.55
200.0,187.55
200.0,187.55
194.0,186.95
191.0,192.3
121.5,186.8
200.0,186.8
200.0,188.2
200.0,188.2
200.0,189.05
200.0,189.65
177.5,187.4
164.5,183.85000000000002
183.5,182.8
200.0,183.7
200.0,191.55
200.0,191.55
200.0,191.55
188.0,190.35
187.0,189.05
200.0,189.05
200.0,191.3
200.0,194.85
190.5,195.55
200.0,195.55
190.0,194.55
200.0,194.55
183.0,192.85
178.0,191.85
200.0,193.14999999999998
174.5,190.6
151.5,185.75
200.0,185.75
166.0,183.3
194.0,182.7
200.0,183.7
142.5,177.95
200.0,179.65
200.0,181.85
159.0,177.75
200.0,180.3
200.0,185.15
200.0,185.15
188.5,187.4
200.0,188.0
182.0,186.2
163.5,188.3
200.0,188.3
200.0,188.3
200.0,192.4
200.0,192.4
200.0,192.4
175.0,189.9
200.0,191.05
200.0,191.05
182.5,191.1
200.0,194.75
177.0,192.45
200.0,192.45
200.0,192.45
186.0,191.05
158.0,186.85000000000002
200.0,189.35000000000002
200.0,189.35000000000002
189.5,188.3
190.0,189.05
200.0,189.05
200.0,191.35000000000002
200.0,191.35000000000002
200.0,191.35000000000002
185.0,191.25
200.0,195.45
175.5,193.0
200.0,193.0
186.0,192.64999999999998
200.0,193.64999999999998
184.0,192.05
197.0,191.75
200.0,191.75
200.0,191.75
170.0,190.25
200.0,190.25
200.0,192.7
187.0,191.4
200.0,192.8
185.0,191.3
151.0,188.0
179.0,186.2
200.0,186.2
198.5,186.05
200.0,189.05
175.0,186.55
138.0,180.35000000000002
148.0,176.45
186.0,175.05
200.0,176.55
192.0,180.64999999999998
200.0,182.75
197.0,182.45
167.5,179.35
191.5,178.5
200.0,181.0
200.0,187.2
200.0,192.39999999999998
200.0,193.8
200.0,193.8
180.5,192.65
200.0,192.65
200.0,192.95
172.0,193.4
200.0,194.25
200.0,194.25
154.5,189.7
200.0,189.7
200.0,189.7
200.0,189.7
200.0,191.64999999999998
200.0,191.64999999999998
164.0,188.05
200.0,190.85
200.0,190.85
200.0,190.85
200.0,195.4
200.0,195.4
142.5,189.65
173.5,187.0
200.0,187.0
200.0,187.0
200.0,190.6
200.0,190.6
200.0,190.6
200.0,190.6
200.0,190.6
194.5,190.05
200.0,195.8
200.0,198.45
200.0,198.45
200.0,198.45
200.0,198.45
200.0,198.45
198.0,198.25
136.0,191.85
200.0,191.85
200.0,192.4
168.0,189.2
161.5,185.35000000000002
200.0,185.35000000000002
200.0,185.35000000000002
200.0,185.35000000000002
200.0,185.35000000000002
200.0,185.55
156.0,187.55
200.0,187.55
200.0,187.55
200.0,190.75
198.5,194.45
200.0,194.45
143.0,188.75
195.5,188.3
200.0,188.3
200.0,188.3
173.5,190.05
187.5,188.8
200.0,188.8
200.0,188.8
174.0,186.35000000000002
200.0,186.35000000000002
200.0,192.05
123.5,184.85000000000002
175.0,182.35000000000002
200.0,182.35000000000002
200.0,185.0
200.0,186.25
178.0,184.05
200.0,184.05
200.0,186.65
155.0,182.15
119.5,174.1
200.0,181.75
200.0,184.25
188.0,183.05
200.0,183.05
200.0,183.05
200.0,185.25
200.0,185.25
187.5,184.0
200.0,188.5
200.0,196.55
200.0,196.55
200.0,196.55
200.0,197.75
200.0,197.75
200.0,197.75
200.0,197.75
200.0,197.75
200.0,199.0
199.5,198.95
200.0,198.95
200.0,198.95
200.0,198.95
200.0,198.95
200.0,198.95
200.0,198.95
200.0,198.95
200.0,198.95
200.0,198.95
200.0,199.0
200.0,199.0
188.5,197.85
200.0,197.85
200.0,197.85
200.0,197.85
200.0,197.85
200.0,197.85
200.0,197.85
200.0,197.85
173.0,195.14999999999998
200.0,195.14999999999998
133.0,189.6
190.5,188.64999999999998
200.0,188.64999999999998
200.0,188.64999999999998
200.0,188.64999999999998
200.0,188.64999999999998
200.0,188.64999999999998
200.0,188.64999999999998
200.0,191.35
200.0,191.35
200.0,198.05
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
172.0,196.2
172.5,193.45
200.0,193.45
200.0,193.45
200.0,193.45
200.0,193.45
198.0,193.25
200.0,193.25
200.0,193.25
200.0,193.25
193.0,195.35
200.0,198.1
200.0,198.1
164.0,194.5
197.0,194.2
200.0,194.2
200.0,194.39999999999998
200.0,194.39999999999998
200.0,194.39999999999998
188.0,193.2
200.0,193.89999999999998
200.0,193.89999999999998
200.0,193.89999999999998
200.0,197.5
200.0,197.8
200.0,197.8
157.5,193.55
200.0,193.55
158.0,189.35
186.5,189.2
200.0,189.2
200.0,189.2
165.0,185.7
200.0,185.7
200.0,185.7
107.5,176.45
200.0,180.7
200.0,180.7
200.0,184.89999999999998
200.0,186.25
200.0,186.25
194.0,185.65
200.0,189.15
200.0,189.15
200.0,189.15
200.0,198.4
200.0,198.4
200.0,198.4
200.0,198.4
200.0,198.4
148.0,193.2
163.5,190.14999999999998
200.0,190.14999999999998
200.0,190.14999999999998
200.0,190.14999999999998
200.0,190.14999999999998
200.0,190.14999999999998
200.0,190.14999999999998
190.5,189.2
200.0,189.2
200.0,194.39999999999998
200.0,198.05
180.5,196.1
200.0,196.1
200.0,196.1
200.0,196.1
200.0,196.1
200.0,196.1
200.0,197.05
200.0,197.05
191.0,196.15
176.0,193.75
200.0,195.7
200.0,195.7
200.0,195.7
200.0,195.7
200.0,195.7
200.0,195.7
200.0,195.7
200.0,195.7
200.0,196.6
153.0,194.3
196.0,193.9
200.0,193.9
200.0,193.9
194.0,193.3
200.0,193.3
200.0,193.3
200.0,193.3
200.0,193.3
200.0,193.3
200.0,198.0
200.0,198.4
200.0,198.4
200.0,198.4
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
200.0,199.0
187.0,197.7
200.0,197.7
200.0,197.7
200.0,197.7
157.0,193.4
200.0,193.4
200.0,193.4
149.0,188.3
198.0,188.10000000000002
200.0,188.10000000000002
200.0,189.4
195.5,188.95
200.0,188.95
200.0,188.95
200.0,193.25
124.0,185.65
200.0,185.65
200.0,190.75
150.5,186.0
200.0,186.0
200.0,186.0
200.0,186.45
200.0,186.45
200.0,186.45
174.0,183.85
200.0,191.45
200.0,191.45
169.0,188.35
200.0,193.3
200.0,193.3
151.0,188.4
200.0,188.4
200.0,188.4
200.0,188.4
200.0,191.0
170.5,188.05
200.0,188.05
200.0,191.15
200.0,191.15
200.0,191.15
200.0,196.05
200.0,196.05
200.0,196.05
200.0,196.05
187.5,194.8
200.0,197.75
