rewards,mean10_rewards
174.0,137.6
83.0,126.4
199.5,127.9
90.5,127.65
200.0,134.05
139.0,140.64999999999998
146.0,139.64999999999998
135.0,141.45
105.0,137.9
200.0,146.2
182.0,147.0
102.5,148.95
143.5,143.35000000000002
137.5,148.05
200.0,148.05
151.5,149.3
196.5,154.35
200.0,160.85
170.0,167.35
101.0,157.45
161.5,155.39999999999998
173.5,162.5
147.0,162.85
200.0,169.10000000000002
159.5,165.05
170.5,166.95
129.0,160.2
177.0,157.9
142.5,155.15
171.5,162.2
156.0,161.64999999999998
151.0,159.39999999999998
200.0,164.7
136.5,158.35
200.0,162.39999999999998
154.0,160.75
165.5,164.39999999999998
161.5,162.85000000000002
139.5,162.55
186.0,164.0
146.5,163.05
48.0,152.75
200.0,152.75
123.0,151.4
107.0,142.1
147.0,141.4
200.0,144.85
126.5,141.35000000000002
121.5,139.55
195.0,140.45
200.0,145.8
200.0,161.0
158.5,156.85
145.0,159.05
200.0,168.35000000000002
174.5,171.1
196.0,170.7
100.5,168.1
173.5,173.3
200.0,173.8
117.5,165.55
186.5,164.2
200.0,168.35
200.0,173.85
159.0,169.75
200.0,172.3
45.5,157.25
156.0,162.8
182.5,163.7
147.5,158.45
187.0,165.39999999999998
101.5,156.9
83.0,145.2
200.0,145.2
160.5,145.35000000000002
193.5,144.7
174.0,157.55
176.0,159.55
141.0,155.4
200.0,160.65
199.0,161.85
173.0,169.0
199.5,180.65
137.5,174.4
184.5,176.8
200.0,177.45
184.0,178.45
147.0,175.55
199.5,181.4
98.0,171.2
200.0,171.3
189.0,172.89999999999998
177.5,170.7
89.0,165.85
176.5,165.05
120.5,157.10000000000002
200.0,158.7
109.5,154.95
200.0,155.0
131.0,158.3
176.0,155.9
139.5,150.95
200.0,153.2
200.0,164.3
124.5,159.1
172.0,164.25
200.0,164.25
191.5,172.45
158.5,168.3
190.0,174.2
184.5,175.05
200.0,181.10000000000002
200.0,181.10000000000002
200.0,181.10000000000002
200.0,188.65
200.0,191.45
200.0,191.45
200.0,192.3
128.0,189.25
200.0,190.25
180.0,189.8
189.5,188.75
145.0,183.25
170.5,180.3
172.0,177.5
200.0,177.5
191.5,176.64999999999998
200.0,176.64999999999998
146.5,178.5
196.0,178.1
200.0,180.1
192.5,180.4
171.5,183.05
200.0,186.0
200.0,188.8
189.0,187.7
133.5,181.9
134.5,175.35000000000002
200.0,180.7
171.5,178.25
141.0,172.35000000000002
200.0,173.10000000000002
176.0,173.55
173.0,170.85
200.0,170.85
200.0,171.95
200.0,178.60000000000002
149.5,180.1
200.0,180.1
200.0,182.95
200.0,188.85
200.0,188.85
163.0,187.55
165.5,186.8
200.0,186.8
196.5,186.45
184.0,184.85
147.5,184.64999999999998
173.0,181.95
159.0,177.85
132.0,171.05
164.0,167.45
146.0,165.75
200.0,169.2
186.5,167.85
200.0,168.2
200.0,169.8
178.0,172.85
141.0,169.65
160.5,169.8
157.0,172.3
196.0,175.5
183.0,179.2
155.0,174.7
104.5,166.5
179.5,164.45
134.0,157.85
200.0,160.05
200.0,165.95
198.5,169.75
200.0,174.05
135.0,167.95
200.0,169.64999999999998
155.0,169.64999999999998
161.5,175.35
200.0,177.39999999999998
200.0,184.0
189.5,182.95
136.0,176.55
182.5,174.95
167.0,171.65
168.5,175.0
192.5,174.25
172.0,175.95
79.5,167.75
115.5,159.3
200.0,159.3
167.0,157.05
188.0,162.25
200.0,164.0
200.0,167.3
200.0,170.45
149.0,166.1
178.0,166.7
182.0,176.95
124.0,177.8
200.0,177.8
200.0,181.1
200.0,182.3
200.0,182.3
166.5,178.95
108.0,169.75
182.0,173.05
170.5,172.3
200.0,174.1
192.5,180.95
200.0,180.95
169.5,177.89999999999998
200.0,177.89999999999998
196.5,177.55
200.0,180.9
92.5,179.35000000000002
159.0,177.05
181.0,178.1
200.0,178.1
200.0,178.85
184.0,177.25
165.5,176.85000000000002
142.0,171.05
200.0,171.4
185.5,169.95
184.0,179.1
200.0,183.2
200.0,185.10000000000002
189.0,184.0
184.5,182.45
159.0,179.95
200.0,183.39999999999998
162.5,185.45
200.0,185.45
200.0,186.89999999999998
170.0,185.5
200.0,185.5
198.0,185.3
163.5,182.75
200.0,184.3
165.5,184.95
134.5,178.4
139.5,176.1
131.5,169.25
179.5,167.2
200.0,170.2
172.0,167.4
171.0,164.7
157.5,164.1
127.5,156.85
154.0,155.7
192.5,161.5
